Ford Ecosport,Ford,2015,505000,67486,PETROL
Ford Ecosport,Ford,2018,844000,47942,PETROL
Ford Ecosport,Ford,2019,796000,57675,CNG
Ford Ecosport,Ford,2016,692000,46706,PETROL
Ford Ecosport,Ford,2017,722000,33921,PETROL
Ford Ecosport,Ford,2017,777000,33493,PETROL
Ford Ecosport,Ford,2016,755000,67889,PETROL
Ford Ecosport,Ford,2018,810000,37983,PETROL
Ford Ecosport,Ford,2019,710000,34446,PETROL
Ford Ecosport,Ford,2015,497000,92975,PETROL
Ford Ecosport,Ford,2017,617000,72091,PETROL
Ford Ecosport,Ford,2018,720000,45730,DIESEL
Ford Ecosport,Ford,2016,522000,74717,PETROL
Ford Ecosport,Ford,2016,777000,18965,PETROL
Ford Ecosport,Ford,2018,699000,80250,PETROL
Ford Ecosport,Ford,2017,625000,51665,DIESEL
Ford Ecosport,Ford,2019,813000,22276,PETROL
Ford Ecosport,Ford,2014,567000,65171,PETROL
Ford Ecosport,Ford,2016,537000,111487,DIESEL
Ford Ecosport,Ford,2014,456000,75761,PETROL
Ford Ecosport,Ford,2018,829000,58559,PETROL
Ford Ecosport,Ford,2017,617000,102616,DIESEL
Ford Ecosport,Ford,2018,805000,112071,CNG
Ford Ecosport,Ford,2016,697000,84459,DIESEL
Ford Ecosport,Ford,2014,470000,90433,PETROL
Ford Ecosport,Ford,2015,529000,81297,PETROL
Ford Ecosport,Ford,2021,874000,63357,DIESEL
Ford Ecosport,Ford,2017,699000,14241,PETROL
Ford Ecosport,Ford,2014,495000,76517,DIESEL
Ford Ecosport,Ford,2019,722000,84035,PETROL
Ford Ecosport,Ford,2018,668000,54937,DIESEL
Ford Ecosport,Ford,2019,823000,18014,CNG
Ford Ecosport,Ford,2019,778000,51442,PETROL
Ford Ecosport,Ford,2018,676000,73059,DIESEL
Ford Ecosport,Ford,2018,794000,59589,DIESEL
Ford Ecosport,Ford,2019,741000,87938,DIESEL
Ford Ecosport,Ford,2018,737000,77819,DIESEL
Ford Ecosport,Ford,2017,551000,52450,PETROL
Ford Ecosport,Ford,2017,694000,85982,PETROL
Ford Ecosport,Ford,2018,760000,76198,DIESEL
Ford Ecosport,Ford,2018,695000,54308,PETROL
Ford Ecosport,Ford,2021,1022000,25576,PETROL
Ford Ecosport,Ford,2017,651000,91641,PETROL
Ford Ecosport,Ford,2018,945000,24567,PETROL
Ford Ecosport,Ford,2014,480000,54379,PETROL
Ford Ecosport,Ford,2015,574000,35133,PETROL
Ford Ecosport,Ford,2019,802000,43760,DIESEL
Ford Ecosport,Ford,2020,942000,68754,DIESEL
Ford Ecosport,Ford,2017,546000,54120,DIESEL
Ford Ecosport,Ford,2018,710000,93671,DIESEL
Ford Ecosport,Ford,2019,870000,7288,PETROL
Ford Ecosport,Ford,2019,948000,41348,PETROL
Ford Ecosport,Ford,2020,895350,19755,DIESEL
Ford Ecosport,Ford,2016,737000,39441,PETROL
Ford Ecosport,Ford,2018,828000,89998,DIESEL
Ford Ecosport,Ford,2018,884000,43481,PETROL
Ford Ecosport,Ford,2018,912000,21738,PETROL
Ford Ecosport,Ford,2018,741000,53505,PETROL
Ford Ecosport,Ford,2018,881000,61873,DIESEL
Ford Ecosport,Ford,2013,430000,59978,PETROL
Ford Ecosport,Ford,2019,833000,23724,PETROL
Ford Ecosport,Ford,2018,718000,94521,DIESEL
Ford Ecosport,Ford,2021,1098000,11915,PETROL
Ford Ecosport,Ford,2020,972000,31724,PETROL
Ford Ecosport,Ford,2018,811000,90114,DIESEL
Ford Ecosport,Ford,2019,1028000,13204,PETROL
Ford Ecosport,Ford,2015,549000,58675,PETROL
Ford Ecosport,Ford,2016,598000,51228,CNG
Ford Ecosport,Ford,2018,801000,73725,PETROL
Ford Ecosport,Ford,2019,792000,28735,PETROL
Ford Ecosport,Ford,2018,720000,39722,PETROL
Ford Ecosport,Ford,2019,920000,63133,DIESEL
Ford Ecosport,Ford,2017,584000,82722,DIESEL
Ford Ecosport,Ford,2018,634000,47956,DIESEL
Ford Ecosport,Ford,2017,738000,71230,DIESEL
Ford Ecosport,Ford,2014,403000,47208,PETROL
Ford Ecosport,Ford,2018,768000,46124,PETROL
Ford Ecosport,Ford,2019,771000,108772,DIESEL
Ford Ecosport,Ford,2016,544000,64393,PETROL
Ford Ecosport,Ford,2016,485000,97711,DIESEL
Ford Ecosport,Ford,2019,861000,58565,DIESEL
Ford Ecosport,Ford,2017,643000,87141,PETROL
Ford Ecosport,Ford,2019,961000,45133,PETROL
Ford Ecosport,Ford,2018,793000,33388,PETROL
Ford Ecosport,Ford,2019,1002000,42354,DIESEL
Ford Ecosport,Ford,2017,722000,34132,PETROL
Ford Ecosport,Ford,2018,726000,51323,PETROL
Ford Ecosport,Ford,2018,785000,31128,PETROL
Ford Ecosport,Ford,2018,843000,26246,PETROL
Ford Ecosport,Ford,2017,575000,98410,PETROL
Ford Ecosport,Ford,2021,819600,39677,PETROL
Ford Ecosport,Ford,2017,565000,39530,PETROL
Ford Ecosport,Ford,2016,678000,62347,PETROL
Ford Ecosport,Ford,2016,703000,88415,PETROL
Ford Ecosport,Ford,2019,726000,45739,PETROL
Ford Ecosport,Ford,2018,674000,54831,DIESEL
Ford Ecosport,Ford,2017,724000,88695,DIESEL
Ford Ecosport,Ford,2019,880000,83865,PETROL
Ford Ecosport,Ford,2020,750000,96075,DIESEL
Ford Ecosport,Ford,2017,653000,61411,DIESEL
Ford Ecosport,Ford,2017,622000,46609,PETROL
Ford Ecosport,Ford,2015,540000,40632,PETROL
Ford Ecosport,Ford,2015,555500,55610,PETROL
Ford Ecosport,Ford,2018,829000,64200,DIESEL
Ford Ecosport,Ford,2018,842000,49360,PETROL
Ford Ecosport,Ford,2017,637000,93866,DIESEL
Ford Ecosport,Ford,2016,719000,54909,PETROL
Ford Ecosport,Ford,2017,805000,35660,PETROL
Ford Ecosport,Ford,2019,896000,42595,DIESEL
Ford Ecosport,Ford,2018,812000,71070,PETROL
Ford Ecosport,Ford,2016,619000,46600,PETROL
Ford Ecosport,Ford,2015,396000,122062,DIESEL
Ford Ecosport,Ford,2017,632000,85389,DIESEL
Ford Ecosport,Ford,2021,1027000,21724,PETROL
Ford Ecosport,Ford,2014,493000,80250,PETROL
Ford Ecosport,Ford,2016,534000,100601,DIESEL
Ford Ecosport,Ford,2019,814000,29878,PETROL
Ford Ecosport,Ford,2016,529000,84070,PETROL
Ford Ecosport,Ford,2016,426000,89850,DIESEL
Ford Ecosport,Ford,2020,981000,27669,PETROL
Ford Ecosport,Ford,2017,552000,93995,PETROL
Ford Ecosport,Ford,2018,721000,84606,PETROL
Ford Ecosport,Ford,2020,1010000,14618,PETROL
Ford Ecosport,Ford,2017,776000,41247,PETROL
Ford Ecosport,Ford,2016,473000,96841,DIESEL
Ford Ecosport,Ford,2017,726000,67481,PETROL
Ford Ecosport,Ford,2017,616000,86439,DIESEL
Ford Ecosport,Ford,2018,670000,117803,PETROL
Ford Ecosport,Ford,2017,733000,85126,PETROL
Ford Ecosport,Ford,2014,488000,121451,PETROL
